perfume_id,brand,name,old_price,old_price_THB,new_price,new_price_THB,ml,concentration,department,scents,base_note,middle_note,item_rating,seller,seller_rating,num_seller_ratings
414,Lattafa,Oud Mood Gold Elixir,147,4855.41,50.6,1671.318,100,EDP,Unisex,Arabian,"Vanilla, Ambra","Lemd De Santal, Agar, Oud wood, Leather notes",3.8,noon,4.2,98.1K
415,DORALL COLLECTION,Courageous,22,726.66,9.95,328.6485,100,EDT,Women,Floral,"Orris Root, Musk, Vanilla","Roses, Iris",4.7,B.A.G,3.7,14.1K
416,Nikos,Sculpture Homme,75,2477.25,58.5,1932.255,100,EDT,Men,Floral,"Tonka bean, amber, benzoin, cedar","Jasmine, lily-of-the-valley, rose, geranium",4.7,Star.perfume,4.2,537
417,ROGER & GALLET,Open,143,4723.29,51.5,1701.045,100,EDT,Men,Spicy,"Tobacco, Patchouli, Vetiver","Sage, Thyme",4.8,Diorworld,3.9,135
418,CREED,Aventus,1375,45416.25,593.3,19596.699,100,EDP,Men,Fruity,"Oak moss, musk, ambergris,, vanilla","Rose, dry birch, Moroccan jasmine, patchouli",5,hadayiq baris,3.8,122
419,LACOSTE,L.12.12 Rouge,113,3732.39,113,3732.39,100,EDT,Men,Spicy,Acacia Wood,Rooibos Tea Extract (red Bush Tea),4,hadayiq baris,3.8,122
420,Ajmal,Sacrifice,79,2609.37,75.9,2506.977,50,EDP,Women,Floral,"Ambergris, Musk","Orange Blossom, Vanilla",4.2,neo lek,4.3,88
421,Franck Olivier,Oud Vanille,167,5516.01,90,2972.7,100,EDP,Men,Arabian,"Woody Notes, Spices, Musk, Vanilla","Rose, Violet, Jasmine, Patchouli, Incense",5,Nawaem_perfumes,3.9,69
422,BURBERRY,The Beat,280,9248.4,150,4954.5,75,EDP,Women,Floral,"White Musk, Vetiver, Cedar Wood","Ceylon Tea, Iris, Bluebell",4.3,Faces,3.7,61
423,Ajmal,Sacrifice,153,5053.59,70,2312.1,50,EDP,Women,Floral,"Woody, Oriental, Musky","Floral, Musky",4.6,Rayhanti,4.2,27
424,Givenchy,Eau De Moiselle,550,18166.5,183,6044.49,100,EDT,Women,Floral,"Ambrette Seeds, Tonka Beans, Musk","Rose, Ylang Ylang",5,Asrar Aljamal,4.2,98
425,AZZARO,Chrome Legend,266,8785.98,123.3,4072.599,125,EDT,Men,Woody,"Cedar, Vetiver","Moss, Musk",5,noon,4.2,98.1K
