perfume_id,brand,name,img_url,old_price,new_price,price_THB,ml,concentration,department,scents,base_note,middle_note,item_rating,seller,seller_rating,num_seller_ratings,,,THB,min_price,max_price,,,,
58,PACO RABANNE,Lady Million,https://image-optimizer-th.production.sephora-asia.net/images/product_images/closeup_65051781_PRF-LADY-M-EDP-80ML_01_771b595c1fe2c70101f77a79f0425b195195ff28_1619266436.png,535,210,6959.4,80,EDP,Women,Floral,Gardenia,"Arabic Jasmine, African Orange Flower",4.7,Beauty Ideas,3.9,61,,,,,,,,,
59,Giorgio Beverly Hills,giorgio,https://fimgs.net/mdimg/perfume/375x500.1889.jpg,120,120,3976.8,90,EDT,Women,Floral,"Sandalwood, Patchouli, Vanilla, Amber, Cedar, Oakmoss, Musk","Ylang-ylang, Seductive Tuberose, Gardenia, Jasmine, Rose, Orchid",5,Faces,3.9,61,,,,,,,,,
60,Guerlain,Idylle,https://fimgs.net/mdimg/perfume/375x500.14179.jpg,430,256,8483.84,100,EDP,Women,Floral,"Amber, Sandalwood","Magnolia, Jasmine, Ylang Ylang",4.3,MOON LIGHT,3.9,33,,,,,,,,,
61,Yves Saint Laurent,Libre,https://fimgs.net/mdimg/perfume/375x500.56077.jpg,655,410,13587.4,90,EDP,Women,Floral,"Amber, Vanilla, Ambergris, Musk","Orange Blossom, Jasmine, Lavender",4.9,Parfume-Stor,4.2,25,,,,,,,,,
62,Jean Paul GAULTIER,Scandal,https://fimgs.net/mdimg/perfume/375x500.68074.jpg,400,288,9544.32,50,EDP,Women,Floral,"Patchouli, Beeswax, Caramel, Licorice","Honey, Gardenia, Jasmine, Orange Blossom, Peach",5,Shopping life,4.2,20,,,,,,,,,
63,BURBERRY,Mr. Burberry,https://fimgs.net/mdimg/perfume/375x500.43525.jpg,515,179.95,5963.543,100,EDP,Men,Woody,"Patchouli, Amber, Sandalwood, Vetiver, Benzoin, Cinnamon","Lavender, Cedar, Nutmeg",4.5,noon,4.2,98.1K,,,,,,,,,
64,Ajmal,Raindrops,https://fimgs.net/mdimg/perfume/375x500.15090.jpg,97,47.95,1589.063,50,EDP,Women,Fruity,"Floral, Amber, Woody",Animalistic Floral,4.7,noon,4.2,98.1K,,,,,,,,,
65,GUCCI,Guilty Absolute,https://assets.central.co.th//adobe/dynamicmedia/deliver/dm-aid--6198d188-3a41-4941-9f77-b50af5a99433/gucci-guiltyabsolutepourhommeeaudeparfum100ml-cds17260374-1.jpg?preferwebp=true&quality=85&width=550,552,332.3,11012.422,90,EDP,Women,Spicy,"Patchouli, Amber","Vetiver, Cypress, Bulgarian Rose, Woody",4.2,Star.perfume,3.9,537,,,,,,,,,
66,J.CASANOVA,ICQ,https://m.media-amazon.com/images/I/6188n8DI4FL.__AC_SX300_SY300_QL70_ML2_.jpg,76.3,76.3,2528.582,100,EDT,Men,Fresh,"Wood, Cedar, Patchouli, Animal, Sandalwood","Floral, Ylang-Ylang, Jasmin, Cyclamen, Rosewood",5,Parisian Store,3.9,425,,,,,,,,,
67,UNITED COLORS OF BENETTON,Cold,https://m.media-amazon.com/images/I/41qiUzPix2L._AC_SL1500_.jpg,51,27.95,926.263,100,EDT,Women,Spicy,"Amber, Frankincense, Musk, Patchouli, Vanilla, Vetiver","Coriander, Cumin, Pimiento",4,top langri,4.2,347,,,,,,,,,
